Date,Description,Category,Amount
2024-01-05,Maple Market,Groceries,85.42
2024-01-08,Northstar Streaming,Entertainment,15.99
2024-01-10,Riverbend Fuel,Transportation,62.00
2024-01-12,Oakview Pharmacy,Health,23.50
2024-01-15,Sunset Burrito Co.,Dining Out,13.75
2024-01-18,Electric Bill,Utilities,110.00
2024-01-20,Harbor Prime Club,Shopping,139.00
2024-01-22,EchoTune Music,Entertainment,9.99
2024-01-25,Pine Grove Grocer,Groceries,67.30
2024-01-28,PeakPoint Fitness,Health,24.99
2024-02-01,Cedar Fresh Foods,Groceries,91.15
2024-02-03,Silver Screen Plus,Entertainment,17.99
2024-02-07,BlueSky Fuel Stop,Transportation,55.00
2024-02-10,WellSpring Drugs,Health,18.75
2024-02-13,QuickBite Grill,Dining Out,9.45
2024-02-14,Lantern Table,Dining Out,78.00
2024-02-16,Internet Bill,Utilities,59.99
2024-02-19,Main Street Goods,Shopping,43.25
2024-02-22,Summit Bulk Market,Groceries,124.80
2024-02-25,CityHop Rides,Transportation,22.50
2024-02-27,CoreLine Fitness,Health,24.99
2024-03-02,Pennywise Pantry,Groceries,55.20
2024-03-05,Movie Tickets,Entertainment,32.00
2024-03-08,Car Insurance,Transportation,145.00
2024-03-11,Doctor Visit,Health,60.00
2024-03-14,Olive & Ash Bistro,Dining Out,45.80
2024-03-17,Water Bill,Utilities,35.00
2024-03-20,Sparkline Electronics,Shopping,199.99
2024-03-22,Green Basket Market,Groceries,72.45
2024-03-25,MetroLift Rides,Transportation,18.75
2024-03-28,Bright Cup Cafe,Dining Out,7.25
2024-03-30,Hammer & Hearth,Shopping,88.60
2024-04-02,Maple Market,Groceries,89.10
2024-04-04,Northstar Streaming,Entertainment,15.99
2024-04-06,Riverbend Fuel,Transportation,58.40
2024-04-08,Oakview Pharmacy,Health,21.35
2024-04-10,Sunset Burrito Co.,Dining Out,14.20
2024-04-12,Silver Screen Plus,Entertainment,18.49
2024-04-14,BlueSky Fuel Stop,Transportation,53.75
2024-04-16,WellSpring Drugs,Health,19.10
2024-04-18,QuickBite Grill,Dining Out,10.25
2024-04-20,Lantern Table,Dining Out,82.00
2024-04-22,Internet Bill,Utilities,59.99
